model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top3_simple_ensemble,3,2025-06-30,lightgbm_return_10y,192.10536852932128,5,0.3333333333333333
top3_simple_ensemble,3,2025-06-30,naive,243.98317523056647,5,0.3333333333333333
top3_weighted_ensemble,3,2025-06-30,lightgbm_return_5y,191.05560512101692,5,0.3600224903529951
top3_weighted_ensemble,3,2025-06-30,lightgbm_return_10y,192.10536852932128,5,0.3580551406666597
top3_weighted_ensemble,3,2025-06-30,naive,243.98317523056647,5,0.2819223689803451
top5_simple_ensemble,3,2025-06-30,lightgbm_return_5y,191.05560512101692,5,0.2
top5_simple_ensemble,3,2025-06-30,lightgbm_return_10y,192.10536852932128,5,0.2
top5_simple_ensemble,3,2025-06-30,naive,243.98317523056647,5,0.2
top5_simple_ensemble,3,2025-06-30,arima_10y,246.32610513705876,5,0.2
top5_simple_ensemble,3,2025-06-30,ridge_10y,249.10981163198556,5,0.2
top5_weighted_ensemble,3,2025-06-30,lightgbm_return_5y,191.05560512101692,5,0.23147193224018173
top5_weighted_ensemble,3,2025-06-30,lightgbm_return_10y,192.10536852932128,5,0.23020704950232368
top5_weighted_ensemble,3,2025-06-30,naive,243.98317523056647,5,0.18125844145355088
top5_weighted_ensemble,3,2025-06-30,arima_10y,246.32610513705876,5,0.17953440240770077
top5_weighted_ensemble,3,2025-06-30,ridge_10y,249.10981163198556,5,0.17752817439624302
top3_simple_ensemble,3,2025-07-31,lightgbm_return_5y,163.43010002465053,6,0.3333333333333333
